Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Qatar,2000,639897,4.86,1.56,55.2,17.6,33.1,21151.0
Romania,2000,22262406,-0.66,-0.1,96.8,10.5,-5.7,-126079.0
Russia,2000,148020170,-0.42,-0.64,9.0,8.6,2.2,326179.0
Rwanda,2000,8047103,0.43,2.61,326.2,40.6,-21.8,-175208.0
Saint Barthelemy,2000,7121,2.53,0.98,284.8,14.9,15.5,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2000,7233,0.76,0.76,18.4,13.7,0.0,0.0
Saint Kitts and Nevis,2000,45655,1.2,1.06,174.9,18.4,1.4,0.0
Saint Lucia,2000,153305,0.79,1.36,253.0,18.9,-5.7,0.0
Saint Martin,2000,28378,-2.64,1.4,525.5,17.4,-40.4,-1146.0
Saint Pierre and Miquelon,2000,6419,-0.5,0.44,26.5,10.8,-9.4,0.0
Saint Vincent and the Grenadines,2000,107861,-0.19,1.36,277.3,20.0,-15.5,-1668.0
Samoa,2000,176209,0.86,2.43,62.5,30.2,-15.7,-2764.0
San Marino,2000,27079,1.87,0.38,443.9,10.7,14.9,0.0
Sao Tome and Principe,2000,140686,2.2,3.39,145.9,45.2,-11.9,-1674.0
Saudi Arabia,2000,21361821,2.38,2.32,9.9,26.9,0.6,12705.0
Senegal,2000,9463093,2.52,2.92,49.2,41.0,-3.9,-37166.0
Serbia,2000,7604338,-1.46,-0.4,98.2,9.7,-10.7,-81068.0
Seychelles,2000,79158,1.33,1.21,174.0,19.1,1.2,0.0
Sierra Leone,2000,4184096,4.68,2.43,58.4,44.5,22.4,93872.0
Singapore,2000,4196927,2.85,1.21,0.0,15.8,16.4,68687.0
Sint Maarten,2000,30784,-1.07,1.01,905.4,13.7,-20.7,0.0
Slovakia,2000,5400316,0.07,0.05,112.3,10.2,0.3,1461.0
Slovenia,2000,2011242,0.11,-0.02,99.8,9.0,1.3,2610.0
Solomon Islands,2000,432152,2.76,3.01,15.4,34.8,-2.5,-1087.0
Somalia,2000,9210961,3.92,4.03,14.7,56.6,-1.1,-10461.0
South Africa,2000,45143676,1.33,1.25,37.2,21.4,0.8,34095.0
South Sudan,2000,6365612,0.0,0.0,9.9,0.0,0.0,0.0
Spain,2000,40589004,1.06,0.1,81.3,9.8,9.6,389774.0
Sri Lanka,2000,19041167,0.0,0.0,294.6,0.0,0.0,0.0
Sudan,2000,27633945,0.0,0.0,14.8,0.0,0.0,0.0
Suriname,2000,465735,1.19,1.69,3.0,23.6,-5.1,-2355.0
Sweden,2000,8924354,0.24,-0.03,21.7,10.1,2.8,24568.0
Switzerland,2000,7277251,0.51,0.22,181.9,10.8,2.9,20872.0
Syria,2000,16457434,0.0,0.0,88.5,0.0,0.0,0.0
Taiwan,2000,22184552,0.85,0.82,687.7,13.9,0.3,5628.0
Tajikistan,2000,6130421,1.74,1.97,43.3,27.9,-2.2,-13706.0
Tanzania,2000,33249097,3.05,2.83,37.5,41.4,2.2,74493.0
Thailand,2000,61146322,0.96,0.82,119.7,14.5,1.4,83735.0
Timor-Leste,2000,757290,8.33,3.01,50.9,41.6,53.2,40270.0
Togo,2000,4779045,2.5,2.97,87.9,38.6,-4.7,-22213.0
Tonga,2000,100077,0.68,2.57,139.6,30.8,-19.0,-1900.0
Trinidad and Tobago,2000,1261135,0.2,0.7,245.9,14.4,-5.0,-6339.0
Tunisia,2000,9545892,1.04,1.14,61.4,17.1,-1.0,-9515.0
Turkey,2000,65978547,1.42,1.55,85.7,21.6,-1.3,-88535.0
Turkmenistan,2000,4385490,1.36,1.58,9.3,22.8,-2.2,-9476.0
Turks and Caicos Islands,2000,19271,4.82,2.02,20.3,24.7,28.0,0.0
Tuvalu,2000,10037,0.16,1.4,386.0,24.7,-12.4,0.0
Uganda,2000,23192143,3.29,3.52,117.7,51.2,-2.3,-52844.0
Ukraine,2000,49013834,-0.99,-0.76,84.6,7.9,-2.4,-115909.0
United Arab Emirates,2000,3230742,5.64,1.49,38.6,16.6,41.5,134049.0
United Kingdom,2000,59139969,0.39,0.12,244.5,11.5,2.7,158999.0
United States,2000,282162411,0.0,0.0,30.8,0.0,0.0,0.0
Uruguay,2000,3313841,0.06,0.67,18.9,15.9,-6.1,-20357.0
Uzbekistan,2000,25041820,1.3,1.57,58.9,21.4,-2.7,-66592.0
Vanuatu,2000,191376,2.66,2.87,15.7,34.7,-2.1,0.0
Venezuela,2000,24228790,1.74,1.91,27.5,24.1,-1.7,-41475.0
Vietnam,2000,79451866,1.36,1.4,256.2,19.6,-0.4,-30000.0
"Virgin Islands, British",2000,22480,3.12,1.04,148.9,14.5,20.9,0.0
"Virgin Islands, U.S.",2000,108642,-0.04,0.84,312.2,14.4,-8.8,0.0
Wallis and Futuna,2000,14667,0.71,1.41,103.3,18.3,-7.0,0.0
West Bank,2000,1947195,2.26,2.89,345.2,33.3,-6.3,-12271.0
Yemen,2000,18473207,2.64,3.13,35.0,40.6,-4.9,-90698.0
Zambia,2000,10194331,3.07,2.63,13.7,44.1,4.4,44694.0
Zimbabwe,2000,12314150,1.62,1.75,31.8,32.9,-1.3,-15856.0
Afghanistan,2001,23804420,2.47,3.41,36.5,45.1,-9.3,-222431.0
Albania,2001,3128000,-0.91,1.23,114.2,17.6,-21.4,-67023.0
Algeria,2001,31074982,1.45,1.53,13.0,19.9,-0.9,-26520.0
American Samoa,2001,57676,-0.17,2.38,291.3,28.7,-25.6,-1474.0
Andorra,2001,65316,0.79,0.68,139.6,11.9,1.0,0.0
Angola,2001,14933769,2.77,3.04,12.0,47.6,-2.7,-40872.0
Anguilla,2001,11774,2.91,0.99,129.4,15.5,19.2,0.0
Antigua and Barbuda,2001,76735,1.67,1.41,173.2,20.6,2.7,0.0
Argentina,2001,37739191,1.03,1.1,13.8,18.6,-0.7,-25000.0
Armenia,2001,3099476,0.2,0.62,109.9,14.1,-4.2,-13047.0
Aruba,2001,90969,1.41,0.55,505.4,13.2,8.6,0.0
Australia,2001,19076793,1.33,0.62,2.5,12.9,7.1,135673.0
Austria,2001,8141540,0.46,0.01,98.8,9.3,4.5,36856.0
Azerbaijan,2001,8532309,0.77,0.83,103.3,15.1,-0.6,-4700.0
"Bahamas, The",2001,291085,2.37,1.26,29.1,18.2,11.1,3222.0
Bahrain,2001,672088,2.95,1.77,884.3,20.7,11.8,7925.0
Bangladesh,2001,130837367,1.59,2.06,0.0,26.7,-4.7,-615524.0
Barbados,2001,276308,0.54,0.57,642.6,13.7,-0.3,0.0
Belarus,2001,9999484,-0.39,-0.49,49.3,9.2,1.0,9807.0
Belgium,2001,10292429,0.22,0.1,339.9,11.0,1.2,12709.0
Belize,2001,258660,2.82,2.35,11.3,27.9,4.7,1209.0
Benin,2001,6901453,3.32,3.26,62.4,45.5,0.5,3743.0
Bermuda,2001,63686,0.88,0.61,0.0,13.1,2.7,0.0
Bhutan,2001,665513,1.71,1.71,17.3,25.6,0.0,0.0
Bolivia,2001,8351136,2.11,2.26,7.7,30.3,-1.4,-12000.0
Bosnia and Herzegovina,2001,3822357,0.43,0.19,74.7,9.9,2.4,9072.0
Botswana,2001,1687937,1.98,1.39,3.0,29.7,5.9,9961.0
Brazil,2001,178511261,1.41,1.41,21.4,20.5,0.0,2111.0
Brunei,2001,332637,2.19,1.88,63.2,22.1,3.1,1044.0
Bulgaria,2001,7846983,-0.8,-0.56,72.3,8.7,-2.4,-18546.0
Burkina Faso,2001,11853834,4.61,3.26,43.3,47.8,13.5,159734.0
Burma,2001,47210417,1.13,1.4,72.2,23.2,-2.7,-127844.0
Burundi,2001,6465746,3.29,3.19,251.8,44.1,1.0,6600.0
Cabo Verde,2001,438453,1.89,1.97,108.7,27.2,-0.8,0.0
Cambodia,2001,12649522,1.49,1.85,71.7,27.8,-3.6,-45100.0
Cameroon,2001,16274385,2.73,2.85,34.4,42.0,-1.2,-19252.0
Canada,2001,31376734,0.89,0.36,3.5,10.6,5.3,165229.0
Cayman Islands,2001,39576,2.97,0.93,149.9,13.9,20.4,0.0
Central African Republic,2001,4018042,1.4,2.22,6.4,39.5,-8.2,-33114.0
Chad,2001,8400324,3.52,3.49,6.7,51.2,0.3,2863.0
Chile,2001,15344730,1.07,1.07,20.6,16.0,0.0,0.0
China,2001,1272058729,0.56,0.59,136.4,12.3,-0.3,-318332.0
Colombia,2001,40663852,1.04,1.57,39.1,21.2,-5.4,-217899.0
Comoros,2001,560628,2.66,3.01,250.8,40.1,-3.5,-1975.0
Congo (Brazzaville),2001,3274614,2.69,2.71,9.6,36.5,-0.2,0.0
Congo (Kinshasa),2001,54597381,3.18,3.15,24.1,45.0,0.2,13200.0
Cook Islands,2001,15680,-3.78,1.57,66.4,21.9,-53.4,0.0
Costa Rica,2001,3955731,1.7,1.51,77.5,19.3,1.9,7500.0
Croatia,2001,4418543,1.12,-0.19,78.9,9.3,13.1,57945.0
Cuba,2001,11171090,0.24,0.53,101.7,12.4,-3.0,-33043.0
Curaçao,2001,131970,-1.52,0.75,297.2,15.2,-22.7,-3000.0
Cyprus,2001,932632,1.46,0.5,100.9,11.6,9.6,8908.0
Czechia,2001,10250328,-0.25,-0.17,132.7,8.9,-0.8,-8551.0
Côte d’Ivoire,2001,16673735,2.78,2.7,52.4,40.8,0.8,13041.0
Denmark,2001,5356271,0.36,0.13,126.2,12.2,2.2,12004.0
Djibouti,2001,690137,3.55,2.45,29.8,34.1,11.1,7633.0
Dominica,2001,71295,0.6,0.86,94.9,16.7,-2.6,0.0
Dominican Republic,2001,8356598,1.51,1.9,172.9,25.4,-3.9,-32719.0
Ecuador,2001,12658432,1.54,2.2,51.0,27.0,-6.6,-83332.0
Egypt,2001,66925023,2.08,2.12,67.2,27.0,-0.4,-29492.0
El Salvador,2001,5854367,0.29,1.83,282.5,24.7,-15.4,-90000.0
Equatorial Guinea,2001,602247,5.66,2.94,21.5,41.8,27.3,16418.0
Eritrea,2001,3993126,4.03,2.76,39.5,37.3,12.7,50544.0
Estonia,2001,1369399,-0.78,-0.43,32.3,9.2,-3.5,-4755.0
Eswatini,2001,1029859,-0.19,1.92,59.9,34.5,-21.1,-21684.0
Ethiopia,2001,64507455,2.58,2.66,58.8,39.0,-0.9,-54537.0
Faroe Islands,2001,46589,1.75,0.59,33.4,13.6,11.6,0.0
Fiji,2001,810646,0.71,1.58,44.4,21.6,-8.7,-7045.0
Finland,2001,5180309,0.26,0.15,17.1,10.9,1.1,5801.0
France,2001,61636489,0.58,0.44,96.2,13.2,1.4,88554.0
French Polynesia,2001,240096,1.72,1.54,62.7,20.3,1.8,0.0
Gabon,2001,1228190,2.09,2.24,4.8,33.0,-1.5,-1836.0
"Gambia, The",2001,1361416,2.32,3.42,134.5,43.9,-11.0,-14958.0
Gaza Strip,2001,1163170,2.98,3.74,0.0,41.7,-7.6,-8824.0
Georgia,2001,4793253,-0.27,0.22,68.8,10.9,-5.0,-23706.0
Germany,2001,82320660,0.22,-0.11,236.1,8.9,3.3,272723.0
Ghana,2001,19526689,2.5,2.35,85.8,33.9,1.5,29488.0
Gibraltar,2001,28017,1.0,0.45,0.0,13.4,5.6,0.0
Greece,2001,10993255,0.57,0.0,84.1,9.3,5.7,62780.0
Greenland,2001,57127,0.44,0.87,0.0,16.4,-4.3,0.0
Grenada,2001,102293,0.67,1.15,297.4,18.6,-4.7,0.0
Guam,2001,156477,0.66,1.85,287.6,22.9,-11.8,-1853.0
Guatemala,2001,11516011,2.42,2.68,107.5,33.1,-2.5,-28886.0
Guernsey,2001,62167,0.36,0.06,797.0,9.9,3.1,0.0
Guinea,2001,7821148,-0.56,2.62,31.8,40.9,-31.8,-248774.0
Guinea-Bissau,2001,1233483,2.11,2.74,43.9,42.3,-6.3,-7736.0
Guyana,2001,788071,0.34,2.22,4.0,28.9,-18.8,-14831.0
Haiti,2001,8429925,1.74,2.16,305.9,32.4,-4.2,-35106.0
Honduras,2001,6535344,2.48,2.74,58.4,33.4,-2.6,-16865.0
Hong Kong,2001,6714968,0.87,0.31,0.0,8.4,5.6,37877.0
Hungary,2001,10129929,-0.15,-0.35,113.0,9.6,2.0,20098.0
Iceland,2001,284805,1.17,0.83,2.8,14.4,3.4,0.0
India,2001,1067817484,1.69,1.71,359.1,25.4,-0.2,-173769.0
Indonesia,2001,217197016,1.42,1.58,119.9,22.2,-1.6,-347160.0
Iran,2001,67250496,1.21,1.27,43.9,18.3,-0.6,-38620.0
Iraq,2001,23534056,3.0,2.99,53.8,35.4,0.1,1274.0
Ireland,2001,3872700,1.36,0.71,56.2,14.9,6.5,24984.0
Isle of Man,2001,76422,0.99,0.01,133.6,11.3,9.8,0.0
Israel,2001,6248824,1.87,1.54,290.7,21.2,3.3,20600.0
Italy,2001,57931051,0.23,-0.03,197.0,9.2,2.6,152175.0
Jamaica,2001,2835874,0.87,1.55,261.8,22.3,-6.8,-19245.0
Japan,2001,127097042,0.28,0.17,348.7,9.5,1.2,145781.0
Jersey,2001,87731,0.33,0.22,756.3,11.1,1.1,0.0
Jordan,2001,4897811,2.32,2.69,55.2,31.2,-3.7,-18004.0
Kazakhstan,2001,15736939,0.37,0.6,5.8,15.7,-2.3,-36601.0
Kenya,2001,30265210,3.05,3.25,53.2,40.5,-2.0,-61409.0
Kiribati,2001,86958,1.78,2.08,107.2,29.5,-3.1,0.0
"Korea, North",2001,23011393,0.86,0.7,191.1,17.8,1.6,36672.0
"Korea, South",2001,47674448,0.59,0.66,491.9,11.7,-0.7,-32224.0
Kosovo,2001,1720532,1.35,1.47,158.0,21.7,-1.2,-2008.0
Kuwait,2001,2027698,2.72,1.85,113.8,20.6,8.7,17581.0
Kyrgyzstan,2001,4976828,0.73,1.26,25.9,20.1,-5.3,-26586.0
Laos,2001,5498518,1.82,2.38,23.8,34.9,-5.6,-30800.0
Latvia,2001,2350481,-0.79,-0.57,37.8,8.4,-2.2,-5137.0
Lebanon,2001,4306410,1.85,1.83,421.0,23.3,0.2,0.0
Lesotho,2001,1899681,0.54,1.63,62.6,31.4,-11.0,-20836.0
Liberia,2001,2801372,2.9,2.81,29.1,44.6,1.0,2747.0
Libya,2001,5184567,0.0,0.0,2.9,0.0,0.0,0.0
Liechtenstein,2001,33312,2.04,0.54,208.2,12.0,15.0,0.0
Lithuania,2001,3475392,-0.54,-0.26,55.4,9.1,-2.9,-10067.0
Luxembourg,2001,443831,1.14,0.39,171.6,12.3,7.5,3311.0
Macau,2001,434778,0.97,0.44,0.0,7.5,5.3,2283.0
Madagascar,2001,16139160,2.86,2.86,27.8,38.0,0.0,0.0
Malawi,2001,11260746,3.07,3.37,119.7,44.4,-3.0,-34129.0
Malaysia,2001,23945724,2.58,1.72,72.9,21.6,8.6,205235.0
Maldives,2001,305904,1.96,1.48,0.0,18.8,4.9,1486.0
Mali,2001,11132068,2.67,3.38,9.1,50.2,-7.1,-78803.0
Malta,2001,396765,0.59,0.19,0.0,9.9,4.0,1584.0
Marshall Islands,2001,53996,1.92,2.93,298.3,34.6,-10.2,0.0
Mauritania,2001,2584708,2.61,3.34,2.5,42.2,-7.3,-18799.0
Mauritius,2001,1199085,1.02,0.97,590.7,16.3,0.4,0.0
Mexico,2001,101125485,1.33,1.84,52.0,23.2,-5.1,-517475.0
"Micronesia, Federated States of",2001,107894,0.14,2.23,153.7,27.7,-21.0,-2260.0
Moldova,2001,4135094,-1.08,-0.1,125.7,10.3,-9.8,-40516.0
Monaco,2001,31843,-0.67,-0.14,0.0,7.2,-5.3,0.0
Mongolia,2001,2489156,1.21,1.32,1.6,19.9,-1.0,-2500.0
Montenegro,2001,622684,-0.08,0.55,46.3,14.2,-6.3,-3889.0
Montserrat,2001,4239,121.11,-0.07,41.6,11.1,0.0,5137.0
Morocco,2001,28837958,1.21,1.6,40.2,23.2,-3.9,-112362.0
Mozambique,2001,18865948,2.0,2.48,24.0,44.0,-4.9,-91701.0
Namibia,2001,1929692,2.21,2.24,2.3,34.0,-0.3,0.0
Nauru,2001,9884,0.72,2.94,470.7,36.7,-22.3,0.0
Nepal,2001,23887333,1.71,2.25,166.6,30.9,-5.5,-130689.0
Netherlands,2001,16046806,0.71,0.39,473.5,12.6,3.2,50838.0
New Caledonia,2001,215276,1.92,1.48,11.8,20.1,4.3,0.0
New Zealand,2001,3837878,1.4,0.73,14.5,14.5,6.7,25635.0
Nicaragua,2001,4935604,1.69,2.2,41.1,27.0,-5.1,-25388.0
Niger,2001,11130179,3.55,3.69,8.8,57.0,-1.4,-15007.0
Nigeria,2001,129095345,2.79,2.79,141.7,44.4,0.0,-2900.0
North Macedonia,2001,2029420,0.54,0.5,79.8,13.3,0.3,0.0
Northern Mariana Islands,2001,69424,-0.43,2.04,147.1,23.0,-24.7,-1715.0
Norway,2001,4515196,0.46,0.28,14.8,12.6,1.8,7955.0
Oman,2001,2486967,2.18,2.15,8.0,25.3,0.3,0.0
Pakistan,2001,153174020,2.88,2.61,198.7,35.5,2.7,409332.0
Palau,2001,19658,0.91,0.7,42.8,15.3,2.1,0.0
Panama,2001,2974308,1.89,1.8,40.0,22.7,0.9,2804.0
Papua New Guinea,2001,5571696,2.74,2.74,12.3,34.3,0.0,0.0
Paraguay,2001,5521976,1.88,1.89,13.9,23.7,-0.1,0.0
Peru,2001,26201796,1.6,1.76,20.5,23.5,-1.7,-44100.0
Philippines,2001,78365524,2.36,2.35,262.8,28.9,0.1,9768.0
Poland,2001,38643639,-0.03,0.01,127.0,9.5,-0.4,-16700.0
Portugal,2001,10433815,0.61,0.07,114.1,10.8,5.4,56213.0
Puerto Rico,2001,3818807,0.0,0.0,430.6,0.0,0.0,0.0
Qatar,2001,671431,4.76,1.61,58.0,18.1,31.5,21151.0
Romania,2001,22106060,-0.75,-0.18,96.2,10.0,-5.7,-126079.0
Russia,2001,147300367,-0.56,-0.63,9.0,8.9,0.8,110380.0
Rwanda,2001,8163133,2.42,2.67,330.9,40.2,-2.6,-20808.0
Saint Barthelemy,2001,7283,1.99,0.98,291.3,14.7,10.2,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2001,7287,0.73,0.73,18.5,13.5,0.0,0.0
Saint Kitts and Nevis,2001,46185,1.11,0.98,177.0,17.4,1.4,0.0
Saint Lucia,2001,154404,0.64,1.2,254.8,18.1,-5.7,0.0
Saint Martin,2001,27774,-1.66,1.38,514.3,17.3,-30.4,0.0
Saint Pierre and Miquelon,2001,6386,-0.56,0.38,26.4,10.5,-9.4,0.0
Saint Vincent and the Grenadines,2001,107605,-0.28,1.25,276.6,19.6,-15.3,-1648.0
Samoa,2001,177786,0.92,2.45,63.0,30.3,-15.2,-2709.0
San Marino,2001,27615,2.06,0.44,452.7,11.4,16.2,0.0
Sao Tome and Principe,2001,143850,2.25,3.41,149.2,45.0,-11.6,-1674.0
Saudi Arabia,2001,21861634,2.25,2.23,10.2,26.0,0.1,2788.0
Senegal,2001,9711971,2.67,2.99,50.4,41.0,-3.2,-31354.0
Serbia,2001,7548379,-0.01,-0.27,97.4,10.4,2.7,20000.0
Seychelles,2001,80173,1.22,1.11,176.2,18.0,1.2,0.0
Sierra Leone,2001,4452947,7.68,2.43,62.2,44.0,52.5,233673.0
Singapore,2001,4321767,3.01,1.02,0.0,13.7,20.0,86220.0
Sint Maarten,2001,30453,-1.09,1.0,895.7,13.8,-21.0,0.0
Slovakia,2001,5402644,0.01,-0.02,112.3,9.5,0.3,1613.0
Slovenia,2001,2013323,0.1,-0.05,99.9,8.7,1.5,2992.0
Solomon Islands,2001,444139,2.72,2.96,15.9,34.3,-2.5,-1087.0
Somalia,2001,9567355,3.68,3.81,15.3,54.2,-1.3,-12802.0
South Africa,2001,45728079,1.25,1.16,37.7,20.8,0.9,39935.0
South Sudan,2001,6626036,0.0,0.0,10.3,0.0,0.0,0.0
Spain,2001,41046894,1.19,0.11,82.3,9.9,10.8,441272.0
Sri Lanka,2001,19074889,1.01,1.28,295.1,19.1,-2.8,-53015.0
Sudan,2001,28269911,0.0,0.0,15.2,0.0,0.0,0.0
Suriname,2001,471128,1.12,1.65,3.0,23.1,-5.4,-2533.0
Sweden,2001,8948311,0.3,-0.03,21.8,10.2,3.2,28654.0
Switzerland,2001,7310547,0.41,0.15,182.8,9.9,2.6,18723.0
Syria,2001,16861448,0.0,0.0,90.7,0.0,0.0,0.0
Taiwan,2001,22341406,0.56,0.58,692.5,11.5,-0.2,-3607.0
Tajikistan,2001,6240417,1.81,2.01,44.1,28.1,-2.0,-12416.0
Tanzania,2001,34225250,2.74,2.84,38.6,41.2,-1.0,-34025.0
Thailand,2001,61736486,0.97,0.83,120.8,14.6,1.4,84415.0
Timor-Leste,2001,827451,9.34,3.4,55.6,44.8,59.4,49160.0
Togo,2001,4900630,2.52,2.98,90.1,38.6,-4.6,-22303.0
Tonga,2001,100748,0.66,2.55,140.5,30.5,-18.9,-1900.0
Trinidad and Tobago,2001,1265657,0.52,0.68,246.8,14.3,-1.6,-1996.0
Tunisia,2001,9644933,1.03,1.13,62.1,17.0,-1.0,-9515.0
Turkey,2001,66903443,1.37,1.53,86.9,21.3,-1.6,-108342.0
Turkmenistan,2001,4444608,1.32,1.52,9.5,22.1,-2.0,-9050.0
Turks and Caicos Islands,2001,20215,4.74,1.95,21.3,23.8,27.9,0.0
Tuvalu,2001,10046,0.01,1.33,386.4,24.3,-13.2,0.0
Uganda,2001,23956460,3.2,3.6,121.5,51.0,-4.0,-96152.0
Ukraine,2001,48520343,-1.03,-0.75,83.8,7.8,-2.8,-135769.0
United Arab Emirates,2001,3402348,4.74,1.48,40.7,16.5,32.6,110887.0
United Kingdom,2001,59374727,0.4,0.11,245.4,11.3,2.9,172999.0
United States,2001,284968955,0.0,0.0,31.1,0.0,0.0,0.0
Uruguay,2001,3313685,-0.07,0.63,18.9,15.7,-6.9,-23002.0
Uzbekistan,2001,25372376,1.32,1.63,59.6,21.8,-3.1,-77762.0
Vanuatu,2001,196502,2.63,2.83,16.1,34.1,-2.0,0.0
Venezuela,2001,24650127,1.71,1.89,27.9,23.8,-1.8,-43650.0
Vietnam,2001,80525732,1.33,1.38,259.7,19.4,-0.5,-39000.0
"Virgin Islands, British",2001,23175,2.96,0.94,153.5,13.6,20.2,0.0
"Virgin Islands, U.S.",2001,108549,-0.13,0.76,311.9,13.1,-8.8,0.0
Wallis and Futuna,2001,14765,0.63,1.33,104.0,18.0,-7.0,0.0
West Bank,2001,1991357,2.23,2.85,353.1,32.9,-6.2,-12271.0
Yemen,2001,18962025,2.59,3.13,35.9,40.3,-5.5,-103800.0
Zambia,2001,10511818,3.07,2.75,14.1,44.2,3.2,33524.0
Zimbabwe,2001,12510512,1.55,1.74,32.3,32.9,-2.0,-24990.0
Afghanistan,2002,25121599,8.15,2.97,38.5,40.2,51.7,1299482.0
Albania,2002,3096388,-1.12,0.95,113.0,14.9,-20.7,-63965.0
Algeria,2002,31521228,1.4,1.52,13.2,19.6,-1.1,-35988.0
American Samoa,2002,57556,-0.24,2.32,290.7,28.3,-25.6,-1474.0
Andorra,2002,65986,1.25,0.63,141.0,11.4,6.2,0.0
Angola,2002,15491694,4.54,3.05,12.4,47.4,14.8,229656.0
Anguilla,2002,12113,2.77,0.93,133.1,14.0,18.4,0.0
Antigua and Barbuda,2002,77936,1.44,1.17,175.9,17.9,2.6,0.0
Argentina,2002,38131972,1.04,1.11,13.9,18.7,-0.7,-25000.0
Armenia,2002,3096323,-0.41,0.56,109.8,14.0,-9.7,-29922.0
Aruba,2002,92166,1.21,0.54,512.0,13.0,6.7,0.0
Australia,2002,19317473,1.18,0.61,2.5,13.0,5.7,110556.0
Austria,2002,8178095,0.44,0.03,99.2,9.6,4.1,33294.0
Azerbaijan,2002,8597652,0.76,0.79,104.1,14.9,-0.4,-3100.0
"Bahamas, The",2002,297936,2.28,1.2,29.8,17.5,10.8,3222.0
Bahrain,2002,714832,9.19,1.65,940.6,19.5,75.4,53883.0
Bangladesh,2002,132887746,1.52,1.99,0.0,25.8,-4.7,-630490.0
Barbados,2002,277849,0.58,0.61,646.2,13.7,-0.3,0.0
Belarus,2002,9954884,-0.51,-0.58,49.1,8.9,0.8,7484.0
Belgium,2002,10326359,0.44,0.07,341.1,11.0,3.7,37896.0
Belize,2002,265969,2.75,2.28,11.7,27.2,4.7,1250.0
Benin,2002,7130279,3.21,3.16,64.5,44.1,0.5,3552.0
Bermuda,2002,64264,0.93,0.67,0.0,13.0,2.6,0.0
Bhutan,2002,676814,1.66,1.66,17.6,24.9,0.0,0.0
Bolivia,2002,8529375,2.11,2.25,7.9,30.0,-1.4,-11540.0
Bosnia and Herzegovina,2002,3826637,-0.21,0.14,74.8,9.3,-3.5,-13334.0
Botswana,2002,1719736,1.76,1.39,3.0,29.3,3.6,6246.0
Brazil,2002,180994541,1.36,1.36,21.7,20.0,0.0,0.0
Brunei,2002,339971,2.17,1.86,64.6,22.0,3.1,1044.0
Bulgaria,2002,7784234,-0.81,-0.59,71.8,8.6,-2.2,-17088.0
Burkina Faso,2002,12406620,4.51,3.22,45.3,46.5,12.8,159312.0
Burma,2002,47740658,1.11,1.36,73.1,22.7,-2.6,-122550.0
Burundi,2002,6669522,2.92,3.23,259.7,44.0,-3.1,-20600.0
Cabo Verde,2002,446699,1.83,1.91,110.8,26.4,-0.8,0.0
Cambodia,2002,12838582,1.47,1.83,72.7,27.5,-3.5,-45100.0
Cameroon,2002,16733803,2.84,2.84,35.4,41.7,0.0,0.0
Canada,2002,31640960,0.79,0.33,3.5,10.4,4.6,143858.0
Cayman Islands,2002,40750,2.88,0.9,154.4,13.6,19.8,0.0
Central African Republic,2002,4094569,2.37,2.21,6.6,39.3,1.6,6490.0
Chad,2002,8713903,3.8,3.59,6.9,52.0,2.1,18120.0
Chile,2002,15505803,1.02,1.02,20.8,15.4,0.0,0.0
China,2002,1278881333,0.51,0.53,137.1,11.8,-0.2,-306666.0
Colombia,2002,41079210,1.0,1.53,39.5,20.7,-5.3,-217907.0
Comoros,2002,575855,2.7,3.04,257.7,40.3,-3.4,-1975.0
Congo (Brazzaville),2002,3358463,2.37,2.78,9.8,36.7,-4.1,-13600.0
Congo (Kinshasa),2002,56319530,3.04,3.13,24.8,44.6,-0.9,-52900.0
Cook Islands,2002,15105,-3.69,1.47,64.0,21.0,-51.6,0.0
Costa Rica,2002,4020309,1.54,1.35,78.7,17.7,1.9,7500.0
Croatia,2002,4442298,-0.04,-0.24,79.4,9.0,1.9,8598.0
Cuba,2002,11202434,0.33,0.6,102.0,12.6,-2.8,-30985.0
Curaçao,2002,131718,1.14,0.61,296.7,13.9,5.3,0.0
Cyprus,2002,946814,1.61,0.42,102.5,11.1,11.9,11226.0
Czechia,2002,10235949,-0.03,-0.15,132.5,9.1,1.2,12290.0
Côte d’Ivoire,2002,17090112,2.17,2.73,53.7,40.7,-5.7,-96795.0
Denmark,2002,5373211,0.28,0.1,126.6,11.9,1.7,9297.0
Djibouti,2002,713372,3.08,2.37,30.8,33.2,7.0,5022.0
Dominica,2002,71660,0.43,0.84,95.4,16.5,-4.1,0.0
Dominican Republic,2002,8482058,1.48,1.84,175.5,24.9,-3.7,-31306.0
Ecuador,2002,12849669,1.46,2.16,51.7,26.6,-7.0,-90083.0
Egypt,2002,68364247,2.18,2.13,68.7,27.0,0.5,34216.0
El Salvador,2002,5869469,0.22,1.76,283.3,23.9,-15.3,-90000.0
Equatorial Guinea,2002,636955,5.54,2.97,22.7,41.8,25.8,16418.0
Eritrea,2002,4147258,3.55,3.13,41.1,40.9,4.2,17376.0
Estonia,2002,1359260,-0.71,-0.39,32.1,9.6,-3.2,-4284.0
Eswatini,2002,1027995,-0.18,1.93,59.8,34.6,-21.1,-21684.0
Ethiopia,2002,66205065,2.62,2.7,60.4,38.9,-0.8,-52230.0
